edicao,opcao,elegiveis,selecionaram,pct_adocao,categoria
2025-2026,sap_bw_etl,929,8.0,0.9,ferramenta_etl_data_analyst
2025-2026,talend,929,6.0,0.6,ferramenta_etl_data_analyst
2025-2026,ibm_datastage,929,4.0,0.4,ferramenta_etl_data_analyst
2025-2026,apache_nifi,929,3.0,0.3,ferramenta_etl_data_analyst
2025-2026,stitch,929,3.0,0.3,ferramenta_etl_data_analyst
2025-2026,luigi,929,0.0,0.0,ferramenta_etl_data_analyst
2025-2026,python,2096,1929.0,92.0,linguagem_preferida_2025_2026
2025-2026,sql,2096,1764.0,84.2,linguagem_preferida_2025_2026
2025-2026,r,2096,328.0,15.6,linguagem_preferida_2025_2026
2025-2026,scala,2096,70.0,3.3,linguagem_preferida_2025_2026
2025-2026,c_c++_c#,2096,49.0,2.3,linguagem_preferida_2025_2026
2025-2026,rust,2096,35.0,1.7,linguagem_preferida_2025_2026
2025-2026,julia,2096,18.0,0.9,linguagem_preferida_2025_2026
2025-2026,dax,2096,8.0,0.4,linguagem_preferida_2025_2026
2025-2026,nao_utilizo_nenhuma_das_linguagens_listadas,2096,0.0,0.0,linguagem_preferida_2025_2026
2025-2026,visual_basic_vba,2096,1.0,0.0,linguagem_preferida_2025_2026
